date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:35	41179/41179	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2003:35:52%20GMT	https://winsfolio.net/html/websole/demos/index-4.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/index-4.html	(from )
13:44:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2008:14:45%20GMT	https://winsfolio.net/robots.txt		(from )
13:44:37	1989/1989	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Sep%202024%2003:38:23%20GMT	https://winsfolio.net/html/websole/demos/assets/img/heading-img.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/img/heading-img.png	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:38	163873/163873	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:07%20GMT	https://winsfolio.net/html/websole/demos/assets/css/bootstrap.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/bootstrap.min.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:38	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:18%20GMT	https://winsfolio.net/html/websole/demos/assets/css/owl.carousel.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/owl.carousel.min.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:38	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:19%20GMT	https://winsfolio.net/html/websole/demos/assets/css/owl.theme.default.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/owl.theme.default.min.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:39	12795/12795	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:16%20GMT	https://winsfolio.net/html/websole/demos/assets/css/jquery.fancybox.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/jquery.fancybox.min.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:39	124583/124583	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:15%20GMT	https://winsfolio.net/html/websole/demos/assets/css/fontawesome.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/fontawesome.min.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:40	2829/2829	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:27%20GMT	https://winsfolio.net/html/websole/demos/assets/font/flaticon_mycollection.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/font/flaticon_mycollection.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:40	39675/39675	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202024%2009:30:55%20GMT	https://winsfolio.net/html/websole/demos/assets/css/style.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/style.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:40	11016/11016	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2003:37:21%20GMT	https://winsfolio.net/html/websole/demos/assets/css/responsive.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/css/responsive.css	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:41	3293/3293	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Sep%202024%2003:38:28%20GMT	https://winsfolio.net/html/websole/demos/assets/img/logo.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/assets/img/logo.png	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:41	42392/42392	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2003:35:53%20GMT	https://winsfolio.net/html/websole/demos/index.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/index.html	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:41	41175/41175	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2003:35:51%20GMT	https://winsfolio.net/html/websole/demos/index-2.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/index-2.html	(from https://winsfolio.net/html/websole/demos/index-4.html)
13:44:42	41222/41222	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2003:35:51%20GMT	https://winsfolio.net/html/websole/demos/index-3.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/Websole/winsfolio.net/html/websole/demos/index-3.html	(from https://winsfolio.net/html/websole/demos/index-4.html)
